period,respondent,respondent-name,type,type-name,value,value-units
2024-05-29T20,PJM,"PJM Interconnection, LLC",D,Demand,94549,megawatthours
2024-05-29T19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,78273,megawatthours
2024-05-29T19,PJM,"PJM Interconnection, LLC",D,Demand,94084,megawatthours
2024-05-29T18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,76395,megawatthours
2024-05-29T18,PJM,"PJM Interconnection, LLC",D,Demand,93317,megawatthours
2024-05-29T17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,74302,megawatthours
2024-05-29T17,PJM,"PJM Interconnection, LLC",D,Demand,91801,megawatthours
2024-05-29T16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,72264,megawatthours
2024-05-29T16,PJM,"PJM Interconnection, LLC",D,Demand,89957,megawatthours
2024-05-29T15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,70383,megawatthours
2024-05-29T15,PJM,"PJM Interconnection, LLC",D,Demand,88042,megawatthours
2024-05-29T14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,68750,megawatthours
2024-05-29T14,PJM,"PJM Interconnection, LLC",D,Demand,86126,megawatthours
2024-05-29T13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,66796,megawatthours
2024-05-29T13,PJM,"PJM Interconnection, LLC",D,Demand,84520,megawatthours
2024-05-29T12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,64064,megawatthours
2024-05-29T12,PJM,"PJM Interconnection, LLC",D,Demand,82135,megawatthours
2024-05-29T11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60946,megawatthours
2024-05-29T11,PJM,"PJM Interconnection, LLC",D,Demand,78400,megawatthours
2024-05-29T10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59304,megawatthours
2024-05-29T10,PJM,"PJM Interconnection, LLC",D,Demand,76191,megawatthours
2024-05-29T09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59497,megawatthours
2024-05-29T09,PJM,"PJM Interconnection, LLC",D,Demand,74106,megawatthours
2024-05-29T08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60340,megawatthours
2024-05-29T08,PJM,"PJM Interconnection, LLC",D,Demand,73809,megawatthours
2024-05-29T07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,60652,megawatthours
2024-05-29T07,PJM,"PJM Interconnection, LLC",D,Demand,75031,megawatthours
2024-05-29T06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,62410,megawatthours
2024-05-29T06,PJM,"PJM Interconnection, LLC",D,Demand,77110,megawatthours
2024-05-29T05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,65376,megawatthours
2024-05-29T05,PJM,"PJM Interconnection, LLC",D,Demand,79810,megawatthours
2024-05-29T04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,69106,megawatthours
2024-05-29T04,PJM,"PJM Interconnection, LLC",D,Demand,83608,megawatthours
2024-05-29T03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,72401,megawatthours
2024-05-29T03,PJM,"PJM Interconnection, LLC",D,Demand,88534,megawatthours
2024-05-29T02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,74649,megawatthours
2024-05-29T02,PJM,"PJM Interconnection, LLC",D,Demand,94678,megawatthours
2024-05-29T01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,76058,megawatthours
2024-05-29T01,PJM,"PJM Interconnection, LLC",D,Demand,97684,megawatthours
2024-05-29T00,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,77806,megawatthours
2024-05-29T00,PJM,"PJM Interconnection, LLC",D,Demand,100918,megawatthours
2024-05-28T23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,78508,megawatthours
2024-05-28T23,PJM,"PJM Interconnection, LLC",D,Demand,103129,megawatthours
2024-05-28T22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,79095,megawatthours
2024-05-28T22,PJM,"PJM Interconnection, LLC",D,Demand,104319,megawatthours
2024-05-28T21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,79579,megawatthours
2024-05-28T21,PJM,"PJM Interconnection, LLC",D,Demand,103756,megawatthours
2024-05-28T20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,80298,megawatthours
2024-05-28T20,PJM,"PJM Interconnection, LLC",D,Demand,102241,megawatthours
2024-05-28T19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,80277,megawatthours
2024-05-28T19,PJM,"PJM Interconnection, LLC",D,Demand,100619,megawatthours
2024-05-28T18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,79642,megawatthours
2024-05-28T18,PJM,"PJM Interconnection, LLC",D,Demand,98960,megawatthours
2024-05-28T17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,78071,megawatthours
2024-05-28T17,PJM,"PJM Interconnection, LLC",D,Demand,96229,megawatthours
2024-05-28T16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,75998,megawatthours
2024-05-28T16,PJM,"PJM Interconnection, LLC",D,Demand,93600,megawatthours
2024-05-28T15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,73798,megawatthours
2024-05-28T15,PJM,"PJM Interconnection, LLC",D,Demand,91217,megawatthours
2024-05-28T14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,71341,megawatthours
2024-05-28T14,PJM,"PJM Interconnection, LLC",D,Demand,89441,megawatthours
2024-05-28T13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,68722,megawatthours
2024-05-28T13,PJM,"PJM Interconnection, LLC",D,Demand,87560,megawatthours
2024-05-28T12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,65062,megawatthours
2024-05-28T12,PJM,"PJM Interconnection, LLC",D,Demand,85066,megawatthours
2024-05-28T11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,61671,megawatthours
2024-05-28T11,PJM,"PJM Interconnection, LLC",D,Demand,79927,megawatthours
2024-05-28T10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,59047,megawatthours
2024-05-28T10,PJM,"PJM Interconnection, LLC",D,Demand,76255,megawatthours
2024-05-28T09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,58258,megawatthours
2024-05-28T09,PJM,"PJM Interconnection, LLC",D,Demand,73685,megawatthours
